groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
411,2,1,2,1,17,9,10,17,19,14,12,16,5b16e1a5457ace0001b40d46,5dc0e5d927d0520845f47856,5c5865627607d00001432199,6792a8e3436a7421aeb193d0
412,1,1,2,2,8,3,9,16,16,9,12,13,654ba564067b2afcf4bcbb25,5ea0162cd60d6d023bb84bc3,63f7b27319a37f8027aa8c6d,66e046b11e9e1bd327a5c240
413,1,2,2,1,10,16,0,12,18,10,8,11,636d6ce3fb3683ff33f9e514,66aa3642b1885fdf7c2b9a2a,675c1620e02d127eaad3c331,6637fddf5464c05b3db40434
414,2,1,1,2,11,19,19,8,11,18,20,8,5947aea4f236120001ecf9f1,63e5a6690eeedc20da056717,5e0e60798205265be682850e,67ed7515c3602df172cbddbc
415,1,2,2,1,22,9,16,25,24,9,14,19,5e8f569436e20a234f89a6f4,5f9d6c8b87770828f1f08fbe,6096eca15340fc49ef3f1ab3,5ea97d9c3593b80714388e3d
416,1,2,2,1,11,8,9,25,16,8,16,21,614f345438466e99f20c3514,5ca35f23219293001653e971,62a447d91e71bfacd2e8c006,62fe6312269d0e4ae894297b
417,2,2,1,1,16,10,16,8,15,11,20,2,592a8ee1dd1a250001b4ee72,659962ff918166178478f157,5dd671942b033b5ec8bc97b4,6775c2971d6e69ab7ba75759
418,1,1,2,2,17,11,22,3,18,13,17,3,677debdc341e7d4d38df09e9,66771965c2d6e48e8330e413,5e91f1fbdc69fd52f4c09b58,656e1a012be03d846f63b364
419,1,2,1,2,8,8,16,21,11,10,16,19,5e84629868b86400086cce3e,60e3452eac7b129147019f7e,66bfd3867e3dd5e2c19650b9,6772ebccadc3bb3fd579cfc1
420,1,1,2,2,16,5,10,3,20,8,18,1,5fb68cacefe4a505428c49c3,6673d3da57fc64dec6476474,61005d2e9b8bac27eba5b984,6787cb812a1d16c5750bb653
421,1,2,2,1,10,16,11,9,11,16,16,8,62a89f57ec8644ae708d69ed,6691d6b19b0ed6a3cbb68e5e,6153ab159ff8abebb4a12c61,65ae6c5bf3e8291f057d0281
422,1,2,2,1,11,10,9,24,10,18,3,19,655cb90d663df6b5fa4fb221,60ad4325e23286e1191e31aa,664b523f60a309f3791726f8,62fd42136d0fe24eccb23ec9
423,1,2,1,2,16,4,13,17,11,10,10,11,665abd757f12f824a9fc172d,668422d8da1de7d7351fcedc,67c0e436ceaee1b193936cc3,6769ca30dda9131a6c8a92cb
424,1,2,2,1,20,3,11,20,27,10,20,16,55cd095034e90600128d2033,6567492900b32685a1ca02ae,62f0e8a5b947eadeaabfd693,614e480621f3b7c9992fe1ee
425,2,1,1,2,12,12,11,16,16,16,16,17,6658b7718052141aa21e749d,6744e1474d6adcc40d285cb2,6337ea706606e30e6f01592f,5999dfdf9039240001432402
426,1,2,2,1,12,4,17,18,11,11,14,18,57a7337e913c710001977341,6126086041dbfc8b499a693c,5c3e32cd9ef99e00016a6f59,5c6bf838cf89090001941c12
427,1,1,2,2,26,19,1,0,25,16,2,0,63e546e24eee3ecb827d167b,6540fa1d1e4eb891d5eeeb19,67301111865cf8fa81ac7897,6554ea27378d1f1b846788b3
428,1,2,2,1,4,13,16,4,11,9,16,1,568f126b7d961b00069646de,5d5c19f4167a2b0001c0784e,65e2240ceb2b1fd974ef01b3,5fc756cec5e5121fdadfb230
429,1,1,2,2,16,19,14,5,13,20,17,10,677948fa843635fdb42a4351,644015d826aa3216f9d6cbc8,62ab53520bb280439345fd6c,647660ef7bc13de7eaf0c76e
430,1,2,2,1,11,8,10,10,19,16,17,13,66341ea0271d271dc78c8283,665b1e330bb1618d3ce1253b,66efa54508a57ab4d42cab20,60a6f069396cebb99ad0c6a7
