groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
1,0,0,0,0,31,32,32,26,28,16,25,34,802,21,708,51
2,0,0,0,0,31,24,26,27,18,20,26,37,937,197,68,537
3,0,0,0,0,29,29,26,22,37,23,35,20,431,815,554,189
4,0,0,0,0,29,17,30,35,36,18,19,26,28,478,843,574
5,0,0,0,0,30,26,30,32,41,9,28,37,29,65,649,752
6,0,0,0,0,21,27,38,28,34,29,28,28,200,237,593,792
7,0,0,0,0,30,27,30,30,35,14,18,31,897,201,523,418
8,0,0,0,0,26,32,32,27,17,32,19,37,760,911,274,428
9,0,0,0,0,25,26,23,28,40,30,30,11,801,469,416,638
10,0,0,0,0,21,33,30,16,15,24,39,26,444,275,900,948
11,0,0,0,0,33,30,28,18,36,12,46,30,896,239,106,677
12,0,0,0,0,29,39,32,31,27,31,17,32,875,316,67,978
13,0,0,0,0,30,27,19,31,42,35,23,48,382,467,519,577
14,0,0,0,0,33,18,17,26,22,33,28,21,761,308,615,256
15,0,0,0,0,29,24,29,29,29,37,41,29,76,11,630,887
16,0,0,0,0,33,35,27,19,7,34,11,33,260,640,72,648
17,0,0,0,0,22,25,35,13,30,18,29,37,694,10,785,41
18,0,0,0,0,23,27,31,20,40,15,15,33,665,252,319,608
19,0,0,0,0,26,29,25,21,25,25,28,39,350,359,605,657
20,0,0,0,0,29,26,32,32,1,14,45,29,908,159,375,989
21,0,0,0,0,33,29,36,32,10,23,38,22,683,267,443,715
22,0,0,0,0,28,30,26,27,27,18,5,30,538,181,853,290
23,0,0,0,0,29,26,30,21,21,10,37,26,770,195,818,176
24,0,0,0,0,30,20,20,22,21,5,21,9,521,342,331,774
25,0,0,0,0,33,23,29,33,11,31,12,29,429,299,933,975
26,0,0,0,0,36,30,25,24,36,36,24,32,475,712,591,82
27,0,0,0,0,32,30,29,30,15,22,22,31,987,396,283,898
28,0,0,0,0,29,26,37,22,21,37,36,30,946,449,47,890
29,0,0,0,0,40,35,29,37,34,34,43,29,880,338,831,388
30,0,0,0,0,34,35,24,31,40,39,26,22,132,402,781,534
31,0,0,0,0,30,30,26,36,55,31,20,25,644,953,158,317
32,0,0,0,0,22,22,29,30,44,13,36,34,209,955,789,250
33,0,0,0,0,23,26,30,29,27,30,28,25,680,271,264,931
34,0,0,0,0,22,33,34,22,28,25,21,16,664,437,805,389
35,0,0,0,0,27,25,20,24,18,34,18,32,524,550,441,370
36,0,0,0,0,30,29,26,39,20,55,22,36,646,8,219,705
37,0,0,0,0,28,34,24,22,24,27,27,37,907,487,625,97
38,0,0,0,0,31,16,35,30,24,20,28,20,611,873,129,78
39,0,0,0,0,26,34,27,21,44,19,10,27,439,70,536,945
40,0,0,0,0,23,29,20,25,6,33,37,24,719,255,139,839
41,0,0,0,0,19,32,29,31,36,29,26,31,967,868,292,167
42,0,0,0,0,31,29,28,29,33,30,34,10,111,240,763,527
43,0,0,0,0,25,27,19,31,41,40,22,31,324,991,994,341
44,0,0,0,0,34,22,29,31,30,17,21,25,557,709,483,425
45,0,0,0,0,38,27,24,27,29,40,44,0,49,19,596,997
46,0,0,0,0,21,32,21,32,15,6,17,35,584,165,891,499
47,0,0,0,0,37,25,27,22,49,20,18,50,609,934,101,464
48,0,0,0,0,25,28,33,21,41,26,39,27,398,533,35,653
49,0,0,0,0,30,20,29,28,45,34,21,29,2,130,682,552
50,0,0,0,0,30,24,29,27,23,36,17,22,314,282,714,927
51,0,0,0,0,29,29,29,29,31,16,36,41,700,962,404,452
52,0,0,0,0,26,29,28,31,25,19,23,17,66,163,824,662
53,0,0,0,0,35,29,14,25,20,22,24,43,841,867,423,247
54,0,0,0,0,25,35,19,32,41,13,29,28,39,566,109,972
55,0,0,0,0,23,28,26,25,42,25,31,39,212,208,922,717
56,0,0,0,0,36,22,27,28,24,30,20,19,306,915,862,89
57,0,0,0,0,28,19,26,18,34,19,26,26,504,394,272,535
58,0,0,0,0,25,29,32,32,37,26,37,24,313,529,970,472
59,0,0,0,0,26,28,24,21,18,23,17,18,337,380,735,598
60,0,0,0,0,22,27,38,34,48,30,35,34,859,150,772,340
61,0,0,0,0,31,27,34,22,27,29,45,19,99,294,668,509
62,0,0,0,0,32,35,37,20,19,22,28,25,866,390,1,558
63,0,0,0,0,27,31,22,23,41,20,20,13,435,986,273,578
64,0,0,0,0,28,25,18,22,22,34,26,23,604,373,981,183
65,0,0,0,0,35,32,25,28,5,28,35,27,736,938,329,346
66,0,0,0,0,18,22,27,29,12,28,16,23,769,217,674,330
67,0,0,0,0,31,24,26,30,38,27,24,51,865,688,410,185
68,0,0,0,0,22,29,24,28,37,32,40,16,270,924,86,996
69,0,0,0,0,36,25,25,22,20,21,30,10,699,582,332,427
70,0,0,0,0,34,28,20,20,4,20,29,33,551,269,57,556
71,0,0,0,0,25,29,18,36,37,17,27,33,199,412,695,811
72,0,0,0,0,29,27,24,27,23,19,28,24,893,691,365,288
73,0,0,0,0,22,26,20,32,17,14,26,24,738,91,711,480
74,0,0,0,0,20,29,28,24,23,27,28,33,687,895,327,15
75,0,0,0,0,29,28,24,23,23,39,35,27,912,847,476,500
76,0,0,0,0,28,25,27,30,33,12,37,29,234,166,980,723
77,0,0,0,0,28,30,33,29,24,18,27,30,357,656,446,863
78,0,0,0,0,21,32,38,36,24,28,36,37,88,123,543,555
79,0,0,0,0,33,22,33,29,17,31,23,18,312,703,345,564
80,0,0,0,0,29,26,26,22,29,19,32,43,671,83,807,395
81,0,0,0,0,33,33,16,33,30,23,30,29,280,249,647,754
82,0,0,0,0,38,29,23,24,30,17,41,16,168,26,973,728
83,0,0,0,0,27,36,26,19,39,20,29,20,187,899,5,517
84,0,0,0,0,28,31,29,28,2,30,20,46,587,278,50,1000
85,0,0,0,0,26,19,30,28,27,28,32,45,36,266,743,810
86,0,0,0,0,26,32,25,30,30,21,30,27,182,415,816,655
87,0,0,0,0,29,25,36,28,22,31,40,38,999,518,138,386
88,0,0,0,0,26,38,24,28,28,22,-4,46,956,419,673,448
89,0,0,0,0,29,20,21,27,27,38,18,32,133,842,939,18
90,0,0,0,0,26,27,23,22,32,28,30,24,152,639,302,840
91,0,0,0,0,18,25,27,22,28,37,35,40,621,80,32,851
92,0,0,0,0,21,26,35,21,28,27,38,43,795,407,214,854
93,0,0,0,0,27,21,30,26,26,23,31,16,122,905,835,148
94,0,0,0,0,21,27,26,27,45,33,27,32,453,883,95,516
95,0,0,0,0,35,25,31,29,39,11,29,28,367,454,725,512
96,0,0,0,0,27,34,20,19,26,36,15,21,281,179,641,568
97,0,0,0,0,29,28,30,29,11,30,26,31,889,917,224,432
98,0,0,0,0,25,23,28,29,25,14,18,28,335,861,417,826
99,0,0,0,0,26,30,28,23,17,28,17,34,642,225,751,364
100,0,0,0,0,26,24,30,32,29,35,23,28,732,788,276,155
101,0,0,0,0,36,25,27,30,44,44,20,25,354,586,397,864
102,0,0,0,0,29,34,32,26,21,22,27,13,161,570,366,622
103,0,0,0,0,30,30,21,33,17,10,15,25,238,720,205,767
104,0,0,0,0,31,29,28,29,31,30,8,19,492,455,814,624
105,0,0,0,0,26,26,29,37,9,14,21,-5,77,583,885,24
106,0,0,0,0,27,26,19,38,28,35,20,32,384,575,614,231
107,0,0,0,0,23,19,30,32,29,18,17,11,456,742,305,837
108,0,0,0,0,24,22,24,24,16,32,19,31,932,220,352,585
109,0,0,0,0,32,19,26,30,26,26,12,22,629,462,697,117
110,0,0,0,0,26,33,29,30,24,7,43,39,22,560,786,56
111,0,0,0,0,26,27,22,27,49,5,28,15,902,12,482,623
112,0,0,0,0,35,25,25,32,26,27,39,35,667,44,581,124
113,0,0,0,0,31,28,31,27,27,29,21,31,37,379,988,886
114,0,0,0,0,24,24,28,31,24,26,20,21,827,778,206,13
115,0,0,0,0,20,24,22,32,17,30,19,33,914,268,693,58
116,0,0,0,0,28,22,15,19,26,18,8,25,661,90,343,734
117,0,0,0,0,28,27,28,23,14,31,21,21,127,829,493,541
118,0,0,0,0,38,25,29,26,15,13,50,29,768,79,413,617
119,0,0,0,0,24,25,31,33,21,34,32,22,215,669,227,588
120,0,0,0,0,21,20,19,27,23,38,30,30,501,424,301,782
121,0,0,0,0,25,30,17,25,33,23,22,49,321,968,100,718
122,0,0,0,0,28,23,33,29,33,30,13,41,627,291,607,378
123,0,0,0,0,22,30,17,30,7,19,35,51,545,323,112,508
124,0,0,0,0,23,22,31,32,28,28,38,23,872,93,3,511
125,0,0,0,0,17,24,30,22,8,32,29,34,34,244,573,606
126,0,0,0,0,19,32,31,35,29,33,28,27,426,433,921,739
127,0,0,0,0,23,23,30,28,20,25,24,22,318,869,422,612
128,0,0,0,0,22,19,30,28,25,24,19,39,759,403,143,513
129,0,0,0,0,29,24,28,32,33,22,37,33,809,408,976,103
130,0,0,0,0,21,24,32,25,35,28,25,19,9,594,226,919
131,0,0,0,0,24,34,33,25,16,30,39,35,935,702,202,263
132,0,0,0,0,35,33,24,29,19,27,50,36,193,289,559,547
133,0,0,0,0,33,21,24,25,37,22,31,18,918,142,287,619
134,0,0,0,0,36,37,25,30,25,11,28,23,243,546,98,888
135,0,0,0,0,28,30,30,27,36,37,27,22,724,459,823,265
136,0,0,0,0,26,17,20,27,33,14,32,30,489,990,232,592
137,0,0,0,0,32,29,32,32,26,17,31,29,764,470,685,216
138,0,0,0,0,27,27,28,25,28,27,33,18,450,780,833,451
139,0,0,0,0,18,27,26,35,22,33,38,29,910,104,463,567
140,0,0,0,0,28,28,33,23,31,19,32,38,730,121,486,741
141,0,0,0,0,29,30,27,22,21,6,43,22,740,784,53,6
142,0,0,0,0,29,24,28,30,34,24,23,39,603,825,348,42
143,0,0,0,0,29,26,25,17,34,31,10,18,387,576,353,954
144,0,0,0,0,27,23,31,27,30,32,23,50,884,73,253,849
145,0,0,0,0,20,26,17,33,33,30,26,25,436,777,757,374
146,0,0,0,0,31,34,30,35,14,40,11,28,952,140,460,618
147,0,0,0,0,29,22,33,23,34,44,25,40,233,530,304,746
148,0,0,0,0,23,26,16,23,40,25,16,32,923,362,369,505
149,0,0,0,0,34,31,20,25,22,33,30,29,309,548,733,481
150,0,0,0,0,27,27,27,29,23,38,45,30,81,137,631,676
151,0,0,0,0,31,36,29,28,25,40,42,28,672,23,797,46
152,0,0,0,0,24,25,36,33,5,25,27,19,686,544,491,107
153,0,0,0,0,17,30,18,37,27,27,30,31,116,207,561,510
154,0,0,0,0,33,26,36,25,20,25,32,16,322,957,790,298
155,0,0,0,0,28,29,29,28,5,43,20,21,279,834,690,108
156,0,0,0,0,31,23,28,19,26,27,49,26,377,758,144,701
157,0,0,0,0,22,27,25,29,41,25,26,34,55,850,409,852
158,0,0,0,0,25,27,20,30,46,34,30,44,102,819,753,131
159,0,0,0,0,23,20,22,19,34,21,36,28,779,194,119,503
160,0,0,0,0,29,26,31,28,43,34,30,25,59,737,634,333
161,0,0,0,0,21,28,19,30,34,24,11,39,442,173,984,771
162,0,0,0,0,21,16,19,36,27,20,46,29,96,114,916,920
163,0,0,0,0,26,26,18,27,22,10,12,38,20,311,983,571
164,0,0,0,0,35,36,32,27,32,22,11,9,776,385,706,447
165,0,0,0,0,21,36,28,20,46,41,27,38,74,242,660,992
166,0,0,0,0,27,27,22,22,15,44,16,22,16,393,540,943
167,0,0,0,0,21,23,21,25,26,29,15,45,539,4,961,31
168,0,0,0,0,24,28,26,12,27,32,12,41,595,300,40,670
169,0,0,0,0,29,12,23,32,22,28,18,36,17,722,903,87
170,0,0,0,0,23,34,27,29,32,28,-1,20,497,326,982,798
171,0,0,0,0,24,28,22,25,26,24,18,23,822,666,381,368
172,0,0,0,0,24,41,23,21,30,47,28,21,713,848,210,440
173,0,0,0,0,19,32,29,22,32,29,27,16,164,361,941,874
174,0,0,0,0,26,34,26,39,27,21,9,21,223,526,855,92
175,0,0,0,0,17,28,31,22,17,37,8,32,876,94,652,473
176,0,0,0,0,31,39,23,24,22,10,23,35,663,146,52,563
177,0,0,0,0,30,33,25,20,29,17,28,9,126,643,654,296
178,0,0,0,0,18,20,21,25,44,13,38,33,458,762,328,985
179,0,0,0,0,26,19,26,30,8,25,28,16,391,620,845,496
180,0,0,0,0,28,32,32,24,18,34,24,39,171,211,616,804
181,0,0,0,0,29,29,29,19,41,18,26,39,85,190,659,716
182,0,0,0,0,24,30,28,29,26,27,24,28,62,254,971,857
183,0,0,0,0,28,23,27,28,40,29,39,29,744,48,522,218
184,0,0,0,0,31,18,25,29,22,7,41,26,128,925,136,515
185,0,0,0,0,23,16,27,25,25,32,32,21,228,297,930,828
186,0,0,0,0,26,29,27,40,12,18,19,35,351,597,892,84
187,0,0,0,0,15,19,27,30,21,30,19,47,610,241,38,628
188,0,0,0,0,29,23,28,20,12,29,23,26,406,773,765,177
189,0,0,0,0,23,20,33,26,25,21,35,22,376,808,747,325
190,0,0,0,0,24,27,30,30,29,23,32,26,461,178,844,909
191,0,0,0,0,31,30,27,32,23,13,28,30,141,170,882,750
192,0,0,0,0,39,28,31,33,15,15,41,35,339,698,438,906
193,0,0,0,0,20,26,17,26,34,32,25,31,186,400,626,749
194,0,0,0,0,27,38,32,29,59,45,16,25,488,721,528,259
195,0,0,0,0,24,30,20,27,56,29,31,42,860,964,494,33
196,0,0,0,0,29,31,24,19,23,25,27,18,145,756,334,995
197,0,0,0,0,22,20,23,37,19,19,32,24,572,258,349,969
198,0,0,0,0,27,28,26,27,24,51,16,33,284,947,188,502
199,0,0,0,0,31,21,26,27,22,36,19,29,727,303,490,602
