groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
1,2,2,1,1,22,26,25,23,35,27,13,36,514,677,149,499
2,1,2,1,2,22,32,21,34,44,22,34,34,18,807,281,698
3,1,1,2,2,34,30,22,20,35,29,32,27,399,388,703,749
4,1,1,2,2,23,25,27,26,10,36,31,15,306,256,897,928
5,2,1,1,2,30,23,26,27,19,32,13,27,929,273,63,729
6,1,2,1,2,26,37,26,19,24,16,22,25,379,773,158,763
7,1,2,1,2,23,21,25,32,26,44,19,12,155,524,311,787
8,2,1,2,1,27,24,34,29,37,32,4,16,683,287,707,345
9,2,2,1,1,31,29,27,25,30,20,12,39,789,950,129,451
10,1,2,1,2,24,22,27,29,32,29,56,34,60,775,92,932
11,2,2,1,1,24,34,28,37,18,43,34,40,788,721,304,19
12,2,1,2,1,20,23,31,26,35,36,35,12,731,114,619,267
13,2,1,1,2,31,33,28,37,31,21,43,22,989,371,34,594
14,2,1,1,2,28,27,18,27,31,44,31,47,869,423,7,982
15,1,2,2,1,30,24,18,22,44,16,11,32,10,708,851,98
16,2,1,1,2,20,28,23,28,42,35,18,29,720,217,232,849
17,2,1,2,1,32,23,33,23,27,16,16,15,949,14,620,450
18,1,2,1,2,26,40,29,28,40,27,7,40,83,675,322,661
19,1,2,2,1,32,27,24,21,24,36,46,25,305,821,591,354
20,2,1,1,2,34,29,32,27,18,20,24,16,755,148,418,930
21,1,1,2,2,24,33,18,33,28,7,31,15,461,272,652,533
22,2,1,1,2,21,29,16,24,36,20,35,30,850,435,36,719
23,2,1,2,1,24,30,29,21,18,0,41,31,767,425,546,140
24,1,2,1,2,32,28,31,29,22,30,12,27,112,576,292,536
25,2,1,1,2,25,30,34,27,36,28,39,22,520,414,210,625
26,2,2,1,1,31,24,26,21,23,22,31,34,951,992,307,54
27,1,2,1,2,24,38,27,26,27,29,20,14,116,666,483,945
28,2,2,1,1,22,18,31,33,24,25,36,36,993,751,355,351
29,2,1,2,1,26,23,29,25,12,19,26,45,687,433,978,470
30,2,1,1,2,29,19,24,35,25,25,25,23,679,221,250,539
31,1,1,2,2,31,31,25,18,48,44,37,30,12,413,988,748
32,2,2,1,1,24,26,27,22,25,28,28,1,528,607,242,249
33,1,2,2,1,16,25,36,32,30,37,28,35,404,865,841,211
34,1,2,2,1,34,31,33,22,19,18,11,14,344,599,738,220
35,1,2,1,2,17,33,27,32,25,31,15,25,271,671,191,563
36,1,1,2,2,33,27,22,22,28,43,26,45,42,69,711,710
37,1,2,1,2,29,20,23,21,24,18,27,10,269,758,417,815
38,2,2,1,1,26,28,26,29,9,29,23,26,834,868,64,38
39,2,2,1,1,23,22,25,31,11,17,49,43,694,880,342,78
40,2,1,2,1,19,35,32,23,33,44,23,13,922,88,611,300
41,1,1,2,2,22,41,26,17,22,22,38,28,188,402,658,919
42,1,2,1,2,35,30,32,25,20,19,13,20,400,839,389,722
43,2,1,1,2,23,21,21,26,36,44,20,44,782,377,334,747
44,1,2,1,2,27,31,23,25,30,23,42,28,213,561,472,968
45,1,2,1,2,35,19,23,22,35,33,25,10,394,558,168,603
46,2,1,2,1,30,25,28,28,33,32,29,27,808,318,651,229
47,1,2,1,2,25,29,26,23,22,26,32,26,372,797,150,545
48,2,2,1,1,29,26,29,30,30,36,29,41,801,910,91,459
49,1,2,2,1,30,21,24,38,19,37,30,30,479,615,559,58
50,2,1,2,1,16,26,34,29,33,28,52,13,664,308,706,142
51,2,1,1,2,40,24,27,25,26,45,48,33,772,279,131,503
52,1,1,2,2,24,34,26,32,23,17,21,37,241,455,963,592
53,1,1,2,2,30,24,28,24,20,40,27,25,52,396,511,917
54,2,1,2,1,32,31,36,32,20,9,33,31,522,282,939,197
55,2,1,1,2,29,25,22,33,20,34,17,27,848,73,37,655
56,2,2,1,1,29,22,26,26,43,16,26,15,942,673,456,174
57,2,1,2,1,25,24,32,30,37,46,36,17,643,159,832,368
58,1,1,2,2,32,27,35,29,42,17,24,42,102,234,774,811
59,2,2,1,1,22,23,26,20,29,18,25,31,508,781,376,484
60,1,1,2,2,36,23,22,25,31,19,31,36,453,96,692,854
61,1,2,2,1,22,19,38,31,20,32,37,36,124,946,975,302
62,1,2,2,1,28,25,26,26,27,27,28,27,238,980,596,262
63,2,2,1,1,31,31,31,20,13,32,26,45,831,843,442,20
64,2,2,1,1,22,33,29,20,20,41,32,39,750,829,122,130
65,2,1,2,1,27,29,30,23,36,14,39,21,931,471,819,363
66,2,1,2,1,24,25,33,27,37,31,31,41,527,233,785,203
67,1,1,2,2,33,30,29,23,8,29,27,37,497,387,967,629
68,1,1,2,2,15,31,26,21,27,24,34,17,236,340,553,697
69,1,2,2,1,27,16,21,25,25,22,35,16,448,790,554,192
70,2,1,2,1,25,27,22,33,29,33,16,25,861,16,660,466
71,1,2,2,1,21,29,26,26,23,30,11,45,72,795,504,240
72,1,1,2,2,16,24,21,27,22,32,31,23,275,485,895,589
73,1,2,1,2,24,32,25,26,21,18,27,26,464,740,446,617
74,2,2,1,1,32,34,28,25,18,15,26,29,732,544,86,467
75,2,1,1,2,31,21,34,29,9,22,28,39,580,348,258,577
76,1,2,1,2,32,27,30,21,18,25,33,38,177,876,226,516
77,2,1,2,1,29,28,28,27,40,41,14,15,657,353,842,380
78,1,2,1,2,31,26,32,21,14,13,5,19,101,674,119,830
79,1,2,2,1,28,29,15,32,11,25,23,26,93,555,630,109
80,2,1,2,1,24,30,26,25,36,20,32,17,665,347,920,2
81,2,1,2,1,31,31,29,31,10,33,34,29,927,327,814,32
82,1,2,1,2,27,28,33,24,5,35,19,42,266,709,154,985
83,2,2,1,1,28,28,30,30,31,31,28,35,1000,678,55,248
84,1,1,2,2,31,28,27,24,31,25,12,40,26,424,959,800
85,1,2,2,1,20,28,32,30,24,42,25,25,165,889,735,405
86,1,2,1,2,30,22,17,32,25,16,35,32,22,585,364,948
87,2,1,2,1,19,29,29,23,45,31,37,29,724,297,909,100
88,1,2,2,1,23,30,20,23,42,17,19,29,360,610,964,349
89,2,1,1,2,21,25,26,35,27,32,46,23,892,415,494,691
90,1,1,2,2,24,33,31,26,27,14,8,26,445,123,635,998
91,2,1,2,1,25,26,27,31,25,29,34,27,579,244,550,126
92,2,1,1,2,30,27,26,18,13,17,47,29,670,190,449,986
93,2,1,1,2,28,26,23,27,20,21,30,29,896,447,209,879
