groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
1,1,2,1,2,16,8,16,8,14,11,17,12,65e5d4a89070326bc76fae1a,6716ad851065864029a3a4b0,6686a08d1b81f0919733a674,5b29ed150ec82d0001d26cf8
2,1,2,2,1,9,12,9,16,15,8,6,21,6632687cb045de5ac33ceea3,56d1af6521cd29000b973ff2,66deeccfa4a8c62e75e0a557,676692edff6a31f5874096e3
3,2,1,1,2,13,10,14,11,16,0,18,12,66b1967c80dfbef628f49076,5de831cad4995d000c5fb540,5fa1636a77c875235bd8e1f6,65cb90ace80f886a058024ce
4,1,2,1,2,18,4,16,14,18,8,12,11,60ce350a7a082517c8666e92,66c0ab484e4cf699c1696486,6418dc6fd0f852a233a10350,5de7ad0ca1a3fb7217ec3365
5,2,1,2,1,16,11,12,16,19,10,16,18,5e7a2ccd69a7770604dfb352,65327cae4fb10f7a6e444b6b,6643b6fd551de255d4e917d3,6751389a1e96f3f33e76809b
6,1,2,1,2,17,16,16,12,12,14,17,11,5fbf90f025a567296d943c7e,62b2510090c080a481c2c8ef,631745d0e4433095276973e4,66337d1de3bea5025f371c0b
7,1,2,2,1,11,15,21,19,8,22,21,17,62c08fa6cab36e3a08790b49,65bfa2967c731d263eb29732,6050ea8a95817a2bfddc9d09,67609d6700aaf43f68f72f96
8,1,2,2,1,19,8,12,23,18,8,17,16,634d7250a9dbe47b2b1d110f,5cb128db0d14d3001838eef5,6111739b4db1a934aa0b1a6a,60febe4bb7d1055665da0413
9,1,2,2,1,11,13,16,9,9,19,9,2,66b732e2824f3862c1739187,66b3c6a051a31f79ebc660e4,6751acc5dc78128951a34f1f,67acf04855971719d0834178
10,2,2,1,1,3,3,9,20,1,6,16,10,66eb5adf63cae551875a7667,677c01af998cc4cb005028ad,667d506bd3bb37c7d8218a62,6669a9dd31aed01f0969b063
11,1,1,2,2,10,11,14,8,11,15,12,10,67f67d04686f4f467e3a6c76,67eee89119de070d8b864f60,6650ac1fae8eede91e78d6ab,5e6b11a7704ee10c3d5e203a
12,2,2,1,1,22,10,13,21,10,11,8,16,6669f1177ad1748a9dc8da4b,66df5574de7eab990c808f55,66e20380324d7bf552a749b9,5cca199061e0b90017809cb7
13,1,2,1,2,20,16,24,16,17,11,28,16,63d808c00c856c87a08cd7a8,66465afcd7be26227a70ea74,5c57c06ed05b82000139682e,64359e5b9995e7d3b31bc2fc
14,2,2,1,1,9,17,11,25,11,19,20,17,5b2122b319113a0001168cd4,66c62c2a76d4919685cd6767,5af344dfdf9933000161f47a,67154e688dff95452b10215d
15,2,1,2,1,18,18,17,12,20,17,16,16,6743e31b8d80b64c6fad696f,63d7b81d79044b73bfb50952,63dbddb434d075a0bff1dbc7,62fce9a6d7fa7bc8559d6ce1
16,1,2,2,1,16,10,18,17,22,16,19,8,66369eca2e8f469b0d247ad8,6501bb247a918443bb34fc33,5ff0379d6bfb633786fd9b27,675a0463071a49c05a98fcbc
17,2,1,1,2,15,18,14,16,17,11,11,8,655f7eb9ae6c61138f8bac86,6776ff8423305566de4ec90e,677c0ace1bbf48bb7c96aeaa,5cf66ed8912f0b0017c50b52
18,1,2,2,1,24,14,16,12,18,15,14,24,66d8b37cdcdd34adcd38d51b,668c1b6dc2285a0b0ce0add5,5a5e1ae68e6259000176271d,6764a389994250f1af5a209c
19,1,2,1,2,17,19,19,7,9,17,17,11,665c492a372cfba059fbeb56,660d96a4b0b9a45fb6fcd2e3,5384dca7fdf99b381c04cbac,5f1b2816e83bcd2d4563a28b
20,2,2,1,1,3,5,8,10,10,5,13,9,5b0710e7a84dcf0001beee8a,62d133496cf7f774b8bf98a0,599ec7dc617ca80001fcd124,66bcfbf06c786a801543ceca
21,1,2,2,1,19,12,9,20,18,17,9,17,5c61dc8d24035400014b63da,5e421b4bc503670be09335c7,676ed8014625d5ebd417b5f2,5b9e9390864aa900018eb8f0
