groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
1,2,1,2,1,26,23,24,26,24,18,20,31,919,432,507,222
2,1,2,2,1,30,23,20,27,42,50,32,27,416,580,585,292
3,1,2,2,1,34,31,22,29,20,46,30,31,375,592,538,315
4,1,1,2,2,26,22,32,29,28,33,34,18,156,358,547,525
5,1,1,2,2,29,26,29,24,31,32,9,2,445,135,842,733
6,1,2,1,2,22,25,28,35,33,28,0,46,129,633,285,706
7,1,2,2,1,29,31,30,31,9,34,32,10,44,581,818,322
8,1,1,2,2,38,34,26,37,24,35,38,26,446,259,990,789
9,2,1,1,2,25,29,22,31,11,42,34,17,951,65,173,768
10,1,2,1,2,28,23,19,34,21,41,31,21,463,882,277,980
11,2,2,1,1,29,27,33,30,1,15,28,26,896,705,302,336
12,1,1,2,2,27,34,26,29,14,18,22,24,435,357,820,502
13,2,1,1,2,24,30,32,38,40,26,22,33,504,454,18,528
14,1,1,2,2,30,31,33,36,9,11,32,35,220,38,544,721
15,2,2,1,1,25,35,30,35,36,16,30,34,823,752,448,57
16,1,2,1,2,28,23,23,30,40,34,13,9,187,662,204,869
17,1,2,2,1,20,26,26,22,42,41,39,20,459,587,608,395
18,2,1,1,2,23,21,26,31,23,26,41,26,637,466,304,792
19,2,1,2,1,24,26,26,25,27,42,34,31,722,169,680,68
20,1,2,1,2,32,30,26,32,27,21,34,45,217,972,143,903
21,1,1,2,2,27,25,28,21,35,26,43,31,394,373,602,708
22,1,2,1,2,26,32,35,20,23,23,16,22,179,668,474,613
23,2,2,1,1,30,23,25,34,28,16,36,19,937,982,332,5
24,1,1,2,2,25,26,41,31,41,34,32,21,48,253,907,945
25,1,2,1,2,17,21,33,25,33,29,19,35,261,672,276,746
26,2,1,2,1,31,25,26,30,19,36,23,32,715,190,505,355
27,2,2,1,1,23,33,23,19,15,37,31,32,741,895,411,161
28,1,2,1,2,31,24,26,22,17,33,33,30,247,646,41,642
29,1,1,2,2,28,26,32,26,16,10,26,30,350,339,960,534
30,1,2,2,1,25,24,28,30,44,25,21,21,272,737,932,185
31,2,2,1,1,22,23,26,25,30,35,35,35,791,779,303,228
32,2,1,1,2,22,30,28,30,47,21,52,36,774,354,310,659
33,2,1,2,1,19,32,27,17,31,16,33,52,696,361,868,101
34,2,1,1,2,21,30,24,34,19,12,22,14,691,402,500,786
35,2,1,1,2,33,28,26,33,28,39,29,34,839,58,320,914
36,2,1,2,1,35,18,33,24,15,41,15,36,695,380,510,77
37,1,2,2,1,24,28,28,35,39,47,8,24,147,854,911,473
38,1,2,1,2,27,24,27,22,9,31,24,36,441,738,324,762
39,1,1,2,2,33,16,28,27,35,11,39,23,224,312,571,576
40,2,2,1,1,32,28,33,27,34,20,16,23,690,881,397,426
41,2,1,2,1,30,30,29,27,35,23,23,21,983,53,830,265
42,1,2,1,2,28,30,26,24,21,44,30,32,372,552,113,829
43,2,2,1,1,33,18,32,29,33,18,43,34,870,807,443,87
44,1,2,1,2,16,29,29,25,42,32,18,33,362,523,146,517
45,1,2,2,1,23,25,27,26,29,31,36,16,341,822,974,148
46,2,1,1,2,27,23,37,24,44,33,14,24,930,93,50,836
47,1,2,2,1,29,32,23,29,31,25,25,30,201,550,999,23
48,2,1,1,2,31,25,29,37,32,26,24,17,952,52,11,861
49,2,1,2,1,36,22,22,23,26,21,30,29,1000,100,694,152
50,1,2,2,1,23,19,21,28,19,32,6,16,462,565,981,119
51,1,2,2,1,30,37,27,28,13,19,19,2,22,558,516,366
52,1,2,1,2,28,26,20,23,14,10,12,14,392,920,364,899
53,2,1,1,2,28,22,25,34,20,25,15,39,922,226,6,515
54,2,1,2,1,36,30,21,27,22,45,45,29,923,497,966,333
55,1,2,1,2,27,23,23,28,19,20,18,53,262,583,164,667
56,2,1,1,2,25,29,40,23,55,18,28,42,601,229,356,858
57,2,1,1,2,33,26,30,28,40,39,37,40,681,81,370,586
58,1,2,2,1,20,28,24,23,32,42,24,30,198,754,532,238
59,1,2,1,2,28,27,20,28,29,5,29,52,321,993,308,925
60,1,2,1,2,24,21,26,26,40,27,25,17,260,711,288,729
61,1,2,1,2,17,18,24,31,19,14,29,11,271,885,211,939
62,1,2,1,2,24,26,28,26,20,27,39,13,345,877,293,943
63,2,1,2,1,21,34,31,23,23,17,17,30,735,327,709,4
64,1,2,2,1,28,27,24,25,41,31,24,14,492,594,852,102
65,2,2,1,1,31,28,19,31,38,15,7,28,635,883,111,274
66,1,2,2,1,20,26,24,31,8,26,19,33,436,568,887,56
67,1,2,1,2,35,26,24,30,27,19,44,23,485,566,242,561
68,2,2,1,1,28,25,30,34,25,25,30,31,714,634,379,131
69,1,2,2,1,24,19,32,20,33,37,36,16,29,805,797,89
70,2,1,2,1,27,30,26,36,7,23,16,35,989,415,763,199
71,2,1,1,2,26,31,31,32,24,1,16,40,875,269,47,979
72,2,1,2,1,33,34,21,20,15,23,28,36,520,235,846,212
73,2,2,1,1,29,22,22,28,34,18,19,43,781,707,252,279
74,2,1,2,1,29,24,24,27,24,32,25,32,963,458,653,126
75,2,1,2,1,39,27,29,21,46,11,23,31,947,13,541,405
76,1,1,2,2,34,30,41,31,6,5,37,17,160,218,850,898
77,2,1,1,2,29,23,23,33,45,33,29,27,527,112,95,958
78,1,2,1,2,26,21,30,29,20,17,18,14,124,760,153,764
79,1,2,1,2,28,27,36,35,22,21,37,34,210,769,417,710
80,1,2,2,1,31,29,33,19,43,12,45,32,150,866,848,452
81,2,1,1,2,30,27,23,24,36,12,11,29,755,83,1,508
82,1,1,2,2,18,20,27,24,49,25,40,16,85,154,984,675
83,1,2,2,1,25,25,35,32,16,31,40,36,188,840,996,348
84,1,2,1,2,29,25,32,20,13,30,26,25,263,859,175,579
85,1,2,2,1,26,31,28,27,37,9,49,31,132,865,652,490
86,2,1,1,2,16,24,22,30,20,20,32,31,811,122,330,957
87,1,1,2,2,27,39,27,27,17,48,36,35,369,478,666,557
88,2,2,1,1,29,19,31,25,13,43,28,42,942,684,482,427
89,1,2,2,1,37,25,20,17,30,26,29,26,290,663,678,142
90,2,1,1,2,23,28,38,18,14,22,17,27,669,92,88,803
91,2,1,1,2,28,26,29,26,42,41,31,30,747,281,353,640
92,1,1,2,2,29,25,25,24,21,30,20,25,28,239,606,717
93,2,1,1,2,26,34,25,21,39,23,20,23,970,144,318,627
94,1,2,1,2,20,23,17,30,31,35,34,39,334,619,250,609
95,2,1,1,2,26,24,28,29,21,24,34,11,570,479,472,813
