groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
451,1,1,2,2,19,12,21,24,29,16,8,19,601623c50446147b23a5bdff,65e85ad0d2ec2a33602e60ea,672501c7bc2f7f52114f2a5e,60402fec7ef10821fb6ac967
452,1,2,1,2,11,2,8,16,16,11,9,16,64da2707c3e6642220490de0,67e5cefeefd6e23bf7fef2ff,5cb2d3be2df32800172e3736,5c2fd16fda51990001e49de9
453,1,1,2,2,16,11,9,6,12,14,11,18,64ef5620f0a6cf6a9568a4b4,63d7b776a9923fe2a69d36bd,65d9fe540f9cfbf106f1e5ca,6522a86994a5ce0d7bb9feba
454,2,1,1,2,24,13,22,17,27,16,11,27,58fa36995214e3000193281c,5daa50967776b10016e1bc9b,615de5ffd3c522eef3c49556,67ac8ac7ff629901b8ab0ffd
455,1,2,1,2,19,6,9,10,19,12,12,6,6701d16a827143e2c70f172b,642f416873973f9f78685164,5d42cf5669717700013c822f,66772da1add67a4a8e713540
456,2,2,1,1,16,9,8,16,12,8,13,15,646674fd07dbd1dc3889d32e,6489cb79dbe4b49f0e893588,64012ef400259d6b9f41d17e,5c1b9212bfd9220001a9ada0
457,2,1,1,2,25,11,12,6,25,15,7,17,665cffa294d28913423afcfd,60d557b55c55abe0ab9dc3f7,5f6f2da91b5cc64887afd65d,644f8c80b71e16db44251de7
458,1,2,2,1,21,13,8,10,21,8,13,13,5b731d292d72dd00010bfee2,598b66390ea3200001521202,56189fff7d110000113b96ac,665c651563503064d1dbba1b
459,1,2,1,2,16,13,17,11,13,20,14,8,66bfb8c0e2695e6ba98b8a82,5da2f9f17809b60014fc839a,633485c40e46cf7e9a2f2ca1,5ea0516dee594a000932857a
460,1,1,2,2,21,28,21,12,24,17,17,9,673ead8d8389b11c02a060e9,5c4b1dae66343200015989b9,678651bac880c33c924460df,5f565f889df06007662eaa84
